Transaction_Amount,Merchant_Category,Payment_Method,Device_Type,Location,Is_International,Previous_Transactions,Average_Spend,Account_Age_Days,Suspicious_Keyword,Fraudulent
37.54,Travel,PayPal,POS,Bengaluru,0,94,417.4,1492,0,0
240.81,Utilities,PayPal,Mobile,Bengaluru,0,76,335.47,66,0,0
105.34,Entertainment,Debit Card,Mobile,Bengaluru,0,60,432.03,216,0,0
73.04,Utilities,NetBanking,Desktop,Kolkata,0,68,488.3,449,0,0
13.57,Utilities,Credit Card,Desktop,Bengaluru,0,57,437.03,754,0,0
13.57,Travel,Credit Card,Mobile,Mumbai,0,64,207.8,1513,0,0
4.79,Health,NetBanking,Desktop,Bengaluru,0,182,409.11,1163,0,0
160.9,Fashion,Debit Card,Mobile,Delhi,0,80,358.71,216,0,0
73.53,Travel,Debit Card,POS,Chennai,0,87,40.19,500,0,0
98.5,Grocery,Debit Card,Desktop,Mumbai,0,182,465.58,1131,0,0
1.66,Travel,Credit Card,Desktop,Pune,0,187,238.32,1992,0,0
280.28,Grocery,PayPal,Desktop,Bengaluru,0,167,75.88,1427,0,0
142.91,Utilities,Debit Card,POS,Pune,0,120,218.44,839,0,0
19.1,Entertainment,Credit Card,POS,Chennai,0,143,305.54,359,0,0
16.05,Travel,Credit Card,Desktop,Mumbai,0,79,290.74,1178,0,0
16.21,Grocery,PayPal,Mobile,Chennai,0,156,291.65,1369,0,0
29.02,Travel,NetBanking,POS,Pune,0,36,135.36,987,0,0
59.51,Entertainment,NetBanking,Desktop,Kolkata,0,54,320.02,349,0,0
45.24,Utilities,Debit Card,Desktop,Mumbai,0,145,454.63,504,0,0
27.54,Travel,Debit Card,POS,Hyderabad,1,100,200.45,1542,0,0
75.71,Food,PayPal,Mobile,Kolkata,0,86,318.98,855,0,0
12.02,Grocery,Debit Card,Desktop,Mumbai,0,22,129.55,543,0,0
27.64,Entertainment,PayPal,Mobile,Bengaluru,0,75,33.66,363,0,0
36.5,Grocery,Credit Card,Mobile,Pune,0,36,297.01,1124,0,0
48.71,Grocery,Debit Card,POS,Chennai,0,29,33.3,494,0,0
123.03,Electronics,Credit Card,Desktop,Chennai,0,183,364.56,1429,0,0
17.82,Entertainment,UPI,Desktop,Chennai,0,170,338.47,753,0,0
57.76,Travel,PayPal,Mobile,Delhi,0,160,190.97,37,0,0
71.8,Grocery,UPI,POS,Delhi,0,142,211.53,1749,0,0
3.81,Health,Debit Card,POS,Bengaluru,0,18,459.7,193,0,0
74.83,Electronics,Credit Card,POS,Hyderabad,0,38,16.44,810,0,0
14.96,Food,Debit Card,Mobile,Delhi,0,101,286.02,1348,0,0
5.38,Grocery,UPI,Mobile,Mumbai,0,34,462.45,387,1,1
237.9,Utilities,Debit Card,Desktop,Kolkata,0,121,457.85,110,0,0
269.65,Grocery,NetBanking,POS,Pune,0,173,296.48,803,0,0
132.19,Electronics,UPI,Mobile,Bengaluru,0,87,196.8,1328,0,0
29.06,Travel,Debit Card,POS,Kolkata,0,160,58.46,950,0,0
8.22,Health,Credit Card,Mobile,Hyderabad,0,110,95.15,928,0,0
92.22,Utilities,Debit Card,Desktop,Kolkata,0,67,343.04,1670,0,0
46.41,Food,Credit Card,POS,Mumbai,0,191,18.15,1874,0,0
10.41,Utilities,NetBanking,Mobile,Chennai,1,183,442.91,1593,0,0
54.68,Grocery,Debit Card,POS,Delhi,0,43,298.09,951,0,0
2.8,Travel,NetBanking,Mobile,Mumbai,0,123,32.12,1100,0,0
192.03,Entertainment,UPI,Mobile,Hyderabad,0,22,127.49,1445,0,0
